Project ID,Project Name,Milestone ID,Milestone,Type,Task Name,Progress,Notes,Start Date,End Date
P1,Migration of Reports from Heat to Heat X,M1,AC Reports,Sustainment,AC Invoice <vendor> - Report,100,"Phase 1
- Move all to Heat X
- Make multi-vendor compliant
Phase 2
- Realign column names to be proper friendly names that align with REST/API",2026-01-01,2026-02-28
P1,Migration of Reports from Heat to Heat X,M1,AC Reports,Sustainment,AC Install BCH - Report,100,,2026-01-01,2026-02-28
P1,Migration of Reports from Heat to Heat X,M1,AC Reports,Sustainment,AC Install Fortis - Report,100,,2026-01-01,2026-02-28
P1,Migration of Reports from Heat to Heat X,M1,AC Reports,Sustainment,AC Only <vendor> - Report,100,,2026-01-01,2026-02-28
P1,Migration of Reports from Heat to Heat X,M1,AC Reports,Sustainment,AC QAP - Report,100,,2026-01-01,2026-02-28
P1,Migration of Reports from Heat to Heat X,M2,ESK,Innovation,ESK BCH Weekly - Extract,100,,2026-01-01,2026-02-28
P1,Migration of Reports from Heat to Heat X,M2,ESK,Innovation,ESK BCH Monthy - Report,100,,2026-01-01,2026-02-28
P1,Migration of Reports from Heat to Heat X,M2,ESK,Innovation,ESK Fortis Weekly - Report,100,,2026-01-01,2026-02-28
P1,Migration of Reports from Heat to Heat X,M2,ESK,Innovation,ESK Fortis Monthly - Report,100,,2026-01-01,2026-02-28
P1,Migration of Reports from Heat to Heat X,M2,ESK,Innovation,ESK Fortis (Joint) Weekly - Report,100,,2026-01-01,2026-02-28
P1,Migration of Reports from Heat to Heat X,M2,ESK,Innovation,ESK Fortis (Joint) Monthly - Report,100,,2026-01-01,2026-02-28
P1,Migration of Reports from Heat to Heat X,M3,Direct Installs,Sustainment,Direct Installs BCH Weekly - Extract,100,,2026-01-01,2026-02-28
P1,Migration of Reports from Heat to Heat X,M3,Direct Installs,Sustainment,Direct Installs BCH Monthly  - Report,75,,2026-01-01,2026-02-28
P1,Migration of Reports from Heat to Heat X,M3,Direct Installs,Sustainment,Direct Installs Fortis Monthly - Report,75,,2026-01-01,2026-02-28
P1,Migration of Reports from Heat to Heat X,M4,Invoicing,Sustainment,Qty_Invoice_<Utility>_<Vendor> - Report,100,,2026-01-01,2026-02-28
P1,Migration of Reports from Heat to Heat X,M4,Invoicing,Sustainment,Invoice Preview (w/ Qty_Invoice) - Excel,0,,,
P1,Migration of Reports from Heat to Heat X,M4,Invoicing,Sustainment,Basic HEAT Invoice (PDF) for SST,0,- not needed,,
